spa,por,rom,fra,ita,lat
supliθjo,suplisjʊ,syplis,syplis,<blank>,sʊpplɪkɪʊm
defensoɾ,dɨfeɪŋsoɹ,defɑ̃sœʁ,defɑ̃sœʁ,difensore,deːfeːnsoːrɛm
<blank>,ɛbulʊ,jɛbl,jɛbl,ebbio,ɛbʊlʊm
<blank>,<blank>,<blank>,<blank>,fune,fuːnɛm
suβsistɛnθja,subziʃteɪŋsjɐ,sybzistɑ̃s,sybzistɑ̃s,sussistɛntsa,sʊbsɪstɛntɪam
<blank>finiθjon,<blank>finisɐ̃ʊ̃,<blank>finisjɔ̃,<blank>finisjɔ̃,<blank>finitsione,fiːniːtɪoːnɛm
koŋxjo,koŋʒjʊ,kɔ̃ʒ,kɔ̃ʒ,kondʒo,kɔŋɡɪʊm
misteɾjo,miʃtɛɾjʊ,mistɛʁ,mistɛʁ,mistɛro,mysteːrɪʊm
pɾonunθjaɾ,pɹunũŋsiaɹ,pʁonɔ̃se,pʁonɔ̃se,pronuntsjare,proːnuːntɪaːrɛ
subteraneo,subtɨʁɐ̃niʊ,sutɛʁɛ̃,sutɛʁɛ̃,sotterraneo,sʊbtɛrraːnɛʊm
<blank>,<blank>,<blank>,<blank>,bifolko,bʊbʊlkʊm
pɾinθipal,pɹiŋsipɑl,pʁɛ̃sipal,pʁɛ̃sipal,printʃipale,prɪŋkɪpaːlɛm
peðal,pɨdɑl,pedal,pedal,pedale,pɛdaːlɛm
impetiɣo,impɨtiɡʊ,<blank>,<blank>,impetidʒine,ɪmpɛtiːɡɪnɛm
atɾakθjon,ɐtɹɐsɐ̃ʊ̃,atʁaksjɔ̃,atʁaksjɔ̃,attratsione,attraktɪoːnɛm
<blank>,<blank>,<blank>,<blank>,protɛndere,proːtɛndɛrɛ
pulpito,pulpitʊ,pypitʁ,pypitʁ,pulpito,pʊlpɪtʊm
mateɾniðad,<blank>,matɛʁnite,matɛʁnite,maternita,maːtɛrnɪtaːtɛm
pɾeβeniɾ,pɹevɨniɹ,pʁevniʁ,pʁevniʁ,prevenire,praɪwɛniːrɛ
memoɾjal,memuɾiɑl,memoʁjal,memoʁjal,memoriale,mɛmɔraːlɛm
tɾeβol,tɹevʊ,tʁɛfl,tʁɛfl,trifɔʎo,trɪfɔlɪʊm
ʎano,ʃɐ̃ʊ̃,plɛ̃,plɛ̃,pjano,plaːnʊm
iroɣaɾ,<blank>,<blank>,<blank>,irroɡare,ɪrrɔɡaːrɛ
kondensaθjon,kuŋdensɐsɐ̃ʊ̃,kɔ̃dɑ̃sasjɔ̃,kɔ̃dɑ̃sasjɔ̃,kondensatsione,kɔndeːnsaːtɪoːnɛm
<blank>,<blank>,<blank>,<blank>,fermio,fɛrmɪʊm
kontempoɾaneo,kuŋteɪmpuɾɐ̃niʊ,kɔ̃tɑ̃poʁɛ̃,kɔ̃tɑ̃poʁɛ̃,kontemporaneo,kɔntɛmpɔraːnɛʊm
oɾaθjon,ɔɾɐsɐ̃ʊ̃,oʁɛzɔ̃,oʁɛzɔ̃,oratsione,oːraːtɪoːnɛm
eksploɾaðoɾ,espluɾɐdoɹ,<blank>,<blank>,<blank>,ɛksploːraːtoːrɛm
laktiθinjo,lɐtisinjʊ,<blank>,<blank>,lattitʃino,laktɪkiːnɪʊm
eʊkaɾistia,eʊkɐɾiʃtiɐ,økaʁisti,økaʁisti,<blank>,ɛʊkʰarɪstɪam
poluiɾ,puluiɹ,pɔlye,pɔlye,<blank>,pɔllʊɛrɛ
reðundanθja,ʁedũŋdɐ̃ŋsjɐ,ʁədɔ̃dɑ̃s,ʁədɔ̃dɑ̃s,ridondantsa,rɛdʊndantɪam
<blank>,pubɨ,<blank>,<blank>,pube,puːbɛrɛm
imfɾiŋxiɾ,iŋfɹiŋʒiɹ,ɑ̃fʁɛ̃dʁ,ɑ̃fʁɛ̃dʁ,infrandʒere,iːnfrɪŋɡɛrɛ
<blank>,pɔʃtɨ,<blank>,<blank>,<blank>,pɔstɛm
kulpa,kuwpɐ,kulp,kulp,kolpa,kʊlpam
peɾplexo,peɾəplɛksʊ,pɛʁplɛks,pɛʁplɛks,perplɛsso,pɛrplɛksʊm
bakwola,vɐkuɔlʊ,vakyɔl,vakyɔl,vakuɔlo,wakʊʊm
aɾtemisja,<blank>,aʁmwaz,aʁmwaz,artemizia,artɛmɪsɪam
konsexo,kuŋseʎʊ,kɔ̃sɛj,kɔ̃sɛj,konsiʎo,koːnsɪlɪʊm
salud,sɐudɨ,saly,saly,salute,saluːtɛm
ɡɾumo,ɡɹumʊ,ɡʁymo,ɡʁymo,ɡrumo,ɡruːmʊm
animaθjon,ɐnimɐsɐ̃ʊ̃,animasjɔ̃,animasjɔ̃,animatsione,anɪmaːtɪoːnɛm
insonte,iŋsoŋtɨ,<blank>,<blank>,<blank>,iːnsɔntɛm
kuɾjoso,kuɾiozʊ,kyʁjø,kyʁjø,kuriozo,kuːrɪoːsʊm
anaðe,adeɪŋ,<blank>,<blank>,anatra,anatɛm
paɾβo,paɾəvʊ,<blank>,<blank>,<blank>,parwʊm
saθjaɾ,sɐsiaɹ,ʁasazje,ʁasazje,<blank>,satɪaːrɛ
<blank>,<blank>,<blank>,<blank>,<blank>,ɔwɛm
<blank>,<blank>,ʁeveʁɑ̃s,ʁeveʁɑ̃s,<blank>,rɛwɛrɛntɪam
konkoɾðja,<blank>,kɔ̃kɔʁd,kɔ̃kɔʁd,konkɔrdia,kɔŋkɔrdɪam
rufo,<blank>,<blank>,<blank>,rufo,ruːfʊm
<blank>,pɹuiɹ,<blank>,<blank>,prudere,pruːriːrɛ
aʊðaθ,aʊdaʃ,odasjø,odasjø,audatʃe,aʊdaːkɛm
moɾena,muɾɛɪɐ,myʁɛn,myʁɛn,murɛna,mʊreːnam
<blank>,sɨɾətaɹ,<blank>,<blank>,tʃertare,kɛrtaːrɛ
kofja,koɪfɐ,kwaf,kwaf,kuffia,kɔfɛam
deɾetʃuɾa,diɾeɪtuɾɐ,dʁwatyʁ,dʁwatyʁ,<blank>,diːrɛktuːram
<blank>,ɐbɹɨnũŋsiɐsɐ̃ʊ̃,<blank>,<blank>,<blank>,abrɛnʊntɪaːtɪoːnɛm
teɾnaɾjo,teɾənaɾjʊ,tɛʁnɛʁ,tɛʁnɛʁ,ternario,tɛrnaːrɪʊm
buβoniko,<blank>,bybonik,bybonik,<blank>,buːboːnɪkʊm
kapaθiðad,kɐpɐsidadɨ,kapasite,kapasite,kapatʃita,kapaːkɪtaːtɛm
konsistoɾjo,kuŋsiʃtɔɾjʊ,kɔ̃sistwaʁ,kɔ̃sistwaʁ,konsistɔrio,koːnsɪstoːrɪʊm
<blank>,<blank>,ʒɑ̃b,ʒɑ̃b,ɡamba,ɡambam
<blank>,<blank>,<blank>,<blank>,saɡoma,saːkoːma
<blank>,<blank>,dane,dane,dannato,damnaːtʊm
kɾeiβle,kɹedivɛl,kʁedibl,kʁedibl,kredibile,kreːdɪbɪlɛm
anteθesoɾ,ɐ̃ŋtɨsɨsoɹ,ɑ̃tesɛsœʁ,ɑ̃tesɛsœʁ,antetʃessore,antɛkɛssoːrɛm
<blank>,<blank>,<blank>,<blank>,armizonante,armɪsɔnʊm
kontɾaβeniɾ,kuŋtɹɐviɹ,kɔ̃tʁəvniʁ,kɔ̃tʁəvniʁ,<blank>,kɔntraːwɛniːrɛ
<blank>,<blank>,malt,malt,malta,maltʰam
deneɣaɾ,dɨnɨɡaɹ,denje,denje,<blank>,deːnɛɡaːrɛ
seɣundo,seɡũŋdʊ,səɡɔ̃,səɡɔ̃,sekondo,sɛkʊndʊm
kompulsaɾe,kumpuwsaɾɨ,kɔ̃pylse,kɔ̃pylse,kompulsare,kɔmpʊlsaːrɛ
<blank>,ʒuɡɹɑl,<blank>,<blank>,<blank>,jɔkʊlaːrɛm
deponeɾ,dɨpoɹ,<blank>,<blank>,depɔrre,deːpoːnɛrɛ
ɲoɲo,nunʊ,<blank>,<blank>,nɔnno,nɔnnʊm
kolina,kulinɐ,ʃolin,ʃolin,kollina,kɔlliːnam
kombinaθjon,kumbinɐsɐ̃ʊ̃,kɔ̃binɛzɔ̃,kɔ̃binɛzɔ̃,kombinatsione,kɔmbiːnaːtɪoːnɛm
<blank>,<blank>,<blank>,<blank>,tʃeraste,kɛrasteːn
komulɣaɾ,kumũŋɡaɹ,kɔmynje,kɔmynje,komunikare,kɔmmuːnɪkaːrɛ
kontiɣwo,kuŋtiɡuʊ,kɔ̃tiɡy,kɔ̃tiɡy,kontiɡwo,kɔntɪɡwʊm
elaɾ,ʒɨlaɹ,ʒəle,ʒəle,dʒelare,ɡɛlaːrɛ
riɣuɾoso,ʁiɡuɾozʊ,<blank>,<blank>,riɡorozo,rɪɡɔrɔsʊm
<blank>,<blank>,<blank>,<blank>,aŋɡamo,ɡaŋɡamɔn
saxitaɾjo,sɐʒitaɾjʊ,saʒitɛʁ,saʒitɛʁ,sadʒittario,saɡɪttaːrɪʊm
